,sigma_Cl,sigma_H,sigma_N,sigma_O,epsilon_Cl,epsilon_H,epsilon_N,epsilon_O,ucmd_clf
12141,0.215666480095682,0.747429190755981,0.44085594388987,0.658699810469409,0.573703918477542,0.365968964412233,0.491529226197535,0.441741788140808,True
53309,0.235155785055083,0.714286338231266,0.488361319539097,0.604201001234665,0.536509532975981,0.488791866655623,0.535842589672206,0.610914154960334,True
111471,0.23869551069517,0.693296009620662,0.503532155215766,0.597838515434564,0.425037282408788,0.558160238365849,0.445280018121243,0.583418922802761,True
116532,0.206109647800807,0.792937675245754,0.622198410061125,0.728878329787551,0.998311263717998,0.523092379063293,0.0550291560564731,0.259349659252076,True
119861,0.272495919982489,0.700954442978699,0.579772303157074,0.645351188136794,0.373578510075677,0.472431546181897,0.59620281023065,0.333201818342852,True
144597,0.239747438261522,0.792303028679841,0.568753241419237,0.640288770400446,0.563381980952122,0.58254659324721,0.288861132100095,0.415039257682909,True
164854,0.475970479433322,0.770506973216026,0.587472554957215,0.709484793931521,0.831236403103878,0.527034428548,0.101193336116697,0.249345442961206,True
165722,0.249813907045543,0.761891759205499,0.546005347209204,0.626960497742539,0.433816272028043,0.467974910274952,0.548192768724564,0.396958559697138,True
274013,0.275916965577995,0.750184036364646,0.439361826104783,0.673022656896523,0.389206435621227,0.474273896250392,0.4901089373463,0.495101134389953,True
315366,0.44212831809997,0.75650219734879,0.59888239354451,0.60804981124548,0.747074228832496,0.439008554144947,0.64153909363093,0.323461241631907,True
320081,0.331482423263663,0.748169935868665,0.56134464471361,0.614793543867704,0.967851810888813,0.372529802046728,0.250348974410378,0.328471177289508,True
342329,0.33114920368594,0.71778594420563,0.600676396453756,0.615389335121557,0.930776640735086,0.474090396551068,0.106719783009485,0.36408938384347,True
431714,0.299440545781948,0.769769170088524,0.579883521766193,0.652369630653898,0.989728442700217,0.782812158890167,0.0318921496162624,0.407266720152584,True
481404,0.374719188569219,0.69110466881423,0.461327627950375,0.657372128817365,0.553964743100895,0.489641478542428,0.526215417307376,0.542610532682585,True
490953,0.349884347391109,0.781347890589574,0.642500271883354,0.689194432726454,0.950581792150735,0.445967691219226,0.233487488627584,0.360561117225151,True
511363,0.140270615183316,0.667754159135856,0.472674427774689,0.655882636021315,0.612662438240808,0.427282531002975,0.514146612766398,0.554163913097781,True
572881,0.321463683103066,0.761616420120102,0.444735727396832,0.736850398496838,0.768199506620002,0.553672326172946,0.143212565010103,0.438685782386619,True
